Sector,MSME_ID,Export_Volume_PreFTA,Export_Volume_PostFTA_Est,Tariff_PreFTA,Tariff_PostFTA,UK_Demand_Growth,Production_Capacity,Export_Experience,Logistics_Cost,Certifications,Workforce_Size,FTA_Access_Score,UK_Market_Share,Sentiment_Score,Exchange_Rate_Impact,Procurement_Opportunity,Innovation_Index,Target_Export_Growth
pharmaceuticals,MSME_PH19383,12.09,18.03,29.18,0.86,9.41,0.95,7,3.73,3,224,0.72,3.96,0.71,0.34,False,0.57,62.31
textiles,MSME_TE19384,3.69,4.06,12.95,0.89,9.71,70.36,1,3.77,1,304,0.71,5.35,0.69,-4.84,False,0.34,84.72
electronics,MSME_EL19385,9.83,14.19,1.35,3.37,16.72,138.62,5,2.37,1,63,0.0,8.14,0.65,-3.29,True,0.5,27.4
pharmaceuticals,MSME_PH19386,1.6800000000000002,2.11,19.91,3.03,9.24,152.53,4,4.59,5,79,0.65,7.89,0.86,-4.27,False,0.84,54.56
marine products,MSME_MA19387,3.02,4.52,5.69,3.2,11.1,43.54,0,1.34,3,89,0.5,6.76,0.65,9.56,False,0.38,20.21
pharmaceuticals,MSME_PH19388,4.9799999999999995,5.83,8.24,0.85,5.19,59.32,18,0.18,5,166,0.58,4.81,0.91,4.33,False,0.61,79.62
chemicals,MSME_CH19389,2.16,2.62,16.66,0.68,0.55,19.28,1,1.42,3,417,0.49,6.42,0.72,1.5,True,0.47,66.83
footwear,MSME_FO19390,0.22,0.27,15.18,4.52,10.09,39.27,17,0.73,3,331,0.6,6.88,0.48,0.43,False,0.33,75.65
marine products,MSME_MA19391,2.3000000000000003,3.2,26.82,4.3,13.13,18.41,20,4.58,3,268,0.75,1.66,0.62,1.76,False,0.3,41.86
textiles,MSME_TE19392,1.8,2.31,11.15,2.99,8.96,154.85,14,1.65,1,489,0.59,7.98,0.77,3.67,False,0.37,44.1
electronics,MSME_EL19393,8.91,10.74,17.19,4.62,17.4,61.17,0,1.37,1,102,0.8,3.03,0.73,-9.08,True,0.81,81.13
alcoholic beverages,MSME_AL19394,10.42,13.54,124.13,31.41,7.15,70.3,0,3.28,3,219,0.55,2.55,0.45,4.98,False,0.41,9.31
leather,MSME_LE19395,1.4300000000000002,1.78,6.78,1.36,-4.23,81.84,10,3.95,0,113,0.29,6.95,0.49,1.67,False,0.39,63.39
pharmaceuticals,MSME_PH19396,2.1,2.94,20.24,3.5,13.29,29.53,15,4.22,4,288,0.75,8.32,0.76,1.31,False,0.83,15.99
textiles,MSME_TE19397,6.619999999999999,8.18,18.5,2.62,10.69,17.9,19,0.61,1,260,0.7,2.83,0.76,-1.17,False,0.49,77.65
footwear,MSME_FO19398,4.34,5.28,23.08,1.0,6.65,176.71,19,0.62,2,21,0.64,3.75,0.59,-1.49,False,0.3,90.68
leather,MSME_LE19399,4.55,5.52,17.85,2.54,3.81,150.82,7,3.05,1,97,0.52,4.93,0.55,9.23,False,0.31,57.67
alcoholic beverages,MSME_AL19400,22.470000000000002,27.08,110.31,31.0,7.56,170.53,2,2.71,0,460,0.55,2.76,0.43,7.64,False,0.37,93.8
footwear,MSME_FO19401,6.069999999999999,8.88,1.9,3.78,8.73,99.84,20,3.82,1,49,0.0,4.74,0.64,9.98,False,0.45,47.88
pharmaceuticals,MSME_PH19402,10.24,12.31,34.61,2.01,1.39,10.35,2,0.29,3,377,0.51,4.24,0.81,-7.69,False,0.61,13.0
marine products,MSME_MA19403,2.79,4.17,28.61,4.79,9.99,109.65,20,1.97,3,481,0.67,0.64,0.52,1.7,False,0.38,64.82
marine products,MSME_MA19404,9.719999999999999,14.06,31.63,0.93,1.55,105.24,3,4.75,3,255,0.52,6.97,0.59,8.58,False,0.45,43.75
electronics,MSME_EL19405,9.709999999999999,13.68,26.06,4.31,17.36,60.01,13,3.35,3,73,0.85,8.45,0.77,4.12,True,0.81,22.32
electronics,MSME_EL19406,0.51,0.63,30.99,0.71,18.96,175.2,8,0.73,3,214,0.96,5.76,0.71,-9.4,True,0.33,63.4
pharmaceuticals,MSME_PH19407,1.8900000000000001,2.47,36.6,3.49,13.75,77.82,17,2.92,4,235,0.8,4.26,0.73,-0.48,False,0.81,95.6
leather,MSME_LE19408,2.27,3.31,35.23,0.99,-0.88,79.31,16,4.53,0,451,0.46,9.77,0.43,-5.05,False,0.44,91.97
pharmaceuticals,MSME_PH19409,1.55,1.9,18.92,1.87,13.19,76.48,0,4.71,4,400,0.78,8.07,0.78,6.07,False,0.81,46.53
marine products,MSME_MA19410,0.55,0.64,28.89,2.9,11.77,105.4,12,0.61,0,361,0.74,7.78,0.52,-3.34,False,0.38,16.78
chemicals,MSME_CH19411,19.62,28.22,4.1,1.71,11.64,198.86,20,3.28,0,216,0.58,3.64,0.68,3.48,True,0.45,62.41
textiles,MSME_TE19412,7.52,9.01,10.82,2.05,0.67,26.3,7,0.2,1,359,0.42,0.61,0.86,-1.0,False,0.42,59.52
alcoholic beverages,MSME_AL19413,0.59,0.86,139.06,34.36,14.88,63.81,6,3.87,1,376,0.75,8.87,0.45,-7.69,False,0.44,50.62
textiles,MSME_TE19414,2.29,2.57,10.46,1.66,0.05,166.18,13,4.71,2,178,0.42,9.07,0.78,-7.89,False,0.44,75.01
gems and jewelry,MSME_GE19415,1.25,1.72,22.99,4.77,7.57,117.58,6,2.22,3,347,0.59,6.55,0.62,2.99,False,0.43,49.66
marine products,MSME_MA19416,13.79,20.68,13.62,1.76,12.28,131.1,15,0.52,3,375,0.74,6.06,0.57,-3.46,False,0.44,79.49
alcoholic beverages,MSME_AL19417,3.0100000000000002,3.52,119.31,39.38,3.92,172.05,4,4.97,2,352,0.43,0.66,0.45,-9.72,False,0.49,6.44
gems and jewelry,MSME_GE19418,4.52,6.7,39.28,3.88,4.95,61.76,11,4.68,1,67,0.57,1.99,0.66,-9.82,False,0.37,15.5
marine products,MSME_MA19419,4.819999999999999,5.38,29.91,2.09,3.44,160.38,15,1.01,0,323,0.55,6.8,0.59,-4.8,False,0.33,9.85
marine products,MSME_MA19420,3.04,4.18,24.92,4.3,13.7,63.44,17,4.17,3,199,0.76,6.7,0.58,9.35,False,0.46,21.33
chemicals,MSME_CH19421,0.33,0.37,19.75,0.51,6.92,171.13,7,2.28,2,398,0.66,4.16,0.79,8.09,True,0.39,87.71
textiles,MSME_TE19422,2.95,3.47,16.26,4.92,8.37,54.47,7,2.35,2,294,0.56,5.22,0.76,-7.34,False,0.36,97.61
marine products,MSME_MA19423,0.74,1.0,4.97,3.52,8.07,123.16,15,2.67,0,342,0.35,0.16,0.67,1.06,False,0.33,90.0
leather,MSME_LE19424,1.27,1.52,25.06,3.36,-3.87,87.84,19,0.82,2,229,0.34,6.11,0.42,-5.38,False,0.38,21.69
marine products,MSME_MA19425,9.85,13.19,38.19,0.54,2.2,94.18,4,4.34,1,241,0.55,5.05,0.59,-8.48,False,0.42,38.26
electronics,MSME_EL19426,4.58,6.45,5.98,0.17,18.9,76.42,15,4.44,2,198,0.96,7.07,0.81,-7.43,True,0.42,56.46
pharmaceuticals,MSME_PH19427,8.08,9.55,10.44,1.49,5.44,193.39,10,4.87,5,29,0.56,2.72,0.78,2.48,False,0.59,42.74
alcoholic beverages,MSME_AL19428,14.08,20.15,141.63,31.51,8.27,176.5,5,1.26,3,93,0.6,3.34,0.51,-1.72,False,0.41,95.22
marine products,MSME_MA19429,1.57,2.28,7.83,3.44,14.26,78.02,17,1.02,1,90,0.64,2.46,0.56,4.5,False,0.45,28.98
gems and jewelry,MSME_GE19430,7.239999999999999,10.85,10.68,0.7,4.86,125.99,10,4.66,3,299,0.59,3.46,0.63,-0.47,False,0.41,73.64
gems and jewelry,MSME_GE19431,10.459999999999999,14.7,39.88,4.23,0.94,60.84,4,3.69,3,368,0.47,5.7,0.75,2.33,False,0.47,96.26
textiles,MSME_TE19432,0.25,0.36,14.95,3.39,4.45,136.55,16,3.95,0,341,0.5,3.6,0.77,7.15,False,0.5,69.36
footwear,MSME_FO19433,8.81,10.78,38.33,3.29,12.99,139.42,8,4.14,2,85,0.78,2.79,0.58,6.57,False,0.3,8.62
footwear,MSME_FO19434,3.66,5.31,37.3,3.88,14.68,88.9,10,3.16,2,133,0.81,8.08,0.71,-2.89,False,0.45,73.03
footwear,MSME_FO19435,8.51,10.79,24.07,3.11,11.82,9.25,1,2.95,1,476,0.73,8.74,0.56,5.59,False,0.47,50.91
footwear,MSME_FO19436,5.22,7.13,38.92,4.54,1.94,122.6,12,3.12,3,473,0.49,8.08,0.57,8.52,False,0.36,37.26
textiles,MSME_TE19437,6.1,7.04,12.05,0.83,6.32,72.3,19,4.88,0,445,0.62,3.99,0.78,-0.22,False,0.47,88.05
chemicals,MSME_CH19438,4.619999999999999,6.35,10.29,1.1,7.51,8.3,17,3.18,0,429,0.63,1.49,0.68,6.92,True,0.48,47.32
marine products,MSME_MA19439,1.9300000000000002,2.32,38.05,2.58,6.74,86.81,12,3.71,2,152,0.63,4.94,0.64,-4.77,False,0.36,17.15
marine products,MSME_MA19440,2.8000000000000003,3.2,35.55,4.01,1.23,178.07,5,2.74,2,329,0.47,3.59,0.65,5.52,False,0.48,67.19
leather,MSME_LE19441,1.08,1.26,9.07,4.33,2.26,133.09,20,0.49,1,490,0.32,3.96,0.48,-7.34,False,0.33,19.61
footwear,MSME_FO19442,2.22,2.58,14.64,1.93,12.92,88.4,15,0.75,3,252,0.76,5.82,0.54,5.32,False,0.31,8.02
leather,MSME_LE19443,0.61,0.73,36.56,1.39,-4.73,13.34,7,4.94,1,472,0.36,4.5,0.57,-7.04,False,0.4,91.23
leather,MSME_LE19444,4.569999999999999,5.32,22.23,2.3,-2.17,195.72,18,0.87,2,55,0.39,8.76,0.59,5.61,False,0.34,84.34
marine products,MSME_MA19445,5.909999999999999,8.55,2.27,4.93,11.62,113.44,3,1.05,3,423,0.0,0.62,0.57,0.09,False,0.47,29.25
gems and jewelry,MSME_GE19446,11.02,15.35,27.55,0.78,4.47,188.1,16,4.07,3,473,0.6,8.96,0.72,6.89,False,0.45,29.35
textiles,MSME_TE19447,9.56,12.44,17.82,3.33,10.47,67.85,3,1.07,1,435,0.67,6.65,0.79,0.5,False,0.43,87.05
footwear,MSME_FO19448,0.47,0.68,31.42,0.05,14.33,174.25,13,4.46,2,322,0.86,3.7,0.51,0.92,False,0.34,86.56
marine products,MSME_MA19449,6.05,8.24,36.38,2.32,1.08,26.72,12,4.17,3,473,0.5,3.08,0.6,-6.71,False,0.34,89.76
electronics,MSME_EL19450,2.95,4.18,3.54,2.13,15.65,34.77,17,3.27,2,382,0.59,8.44,0.62,4.82,True,0.39,28.65
chemicals,MSME_CH19451,16.21,23.83,33.33,2.74,8.85,74.4,14,0.86,3,238,0.68,7.39,0.71,1.65,True,0.4,88.4
leather,MSME_LE19452,3.91,5.13,34.14,1.68,-1.49,74.93,6,3.5,1,137,0.44,8.62,0.57,1.71,False,0.41,38.2
electronics,MSME_EL19453,3.94,5.18,38.22,1.43,16.11,181.34,0,4.71,3,47,0.88,1.53,0.69,1.09,True,0.75,31.04
electronics,MSME_EL19454,0.75,1.04,26.89,4.57,12.56,199.77,16,3.01,0,429,0.73,1.28,0.72,8.46,True,0.59,41.86
marine products,MSME_MA19455,5.609999999999999,8.03,21.05,1.0,2.79,166.32,17,3.48,0,405,0.55,3.42,0.51,-7.86,False,0.47,77.2
electronics,MSME_EL19456,10.93,14.69,21.34,0.87,15.57,57.99,12,0.16,3,160,0.87,6.78,0.78,-0.61,True,0.63,27.53
marine products,MSME_MA19457,0.37,0.46,34.67,1.96,13.2,45.99,1,4.32,1,101,0.8,8.56,0.54,2.47,False,0.32,10.35
pharmaceuticals,MSME_PH19458,7.89,11.1,34.11,1.52,10.74,34.99,4,1.38,4,132,0.75,7.35,0.84,9.25,False,0.65,87.16
pharmaceuticals,MSME_PH19459,10.15,15.11,2.62,3.4,12.34,108.13,8,3.73,4,242,0.16,3.08,0.8,7.23,False,0.43,27.01
footwear,MSME_FO19460,0.49,0.59,22.23,4.94,1.39,12.5,10,2.52,1,21,0.42,0.96,0.51,7.5,False,0.44,14.66
electronics,MSME_EL19461,2.92,4.06,29.92,2.96,19.9,144.58,7,4.59,2,67,0.95,5.3,0.61,1.19,True,0.57,9.08
footwear,MSME_FO19462,3.54,3.94,36.21,1.03,9.34,108.41,13,4.2,0,365,0.72,6.68,0.56,9.78,False,0.44,5.79
leather,MSME_LE19463,14.53,18.21,26.69,0.77,-3.22,176.94,20,3.85,2,458,0.41,0.36,0.45,-4.54,False,0.34,10.55
marine products,MSME_MA19464,3.9,4.55,2.43,1.25,12.22,156.04,0,0.27,0,350,0.55,1.34,0.59,-4.26,False,0.47,59.32
electronics,MSME_EL19465,3.36,5.04,16.52,2.2,14.35,106.3,7,3.17,3,79,0.79,9.85,0.73,-0.43,True,0.38,21.15
gems and jewelry,MSME_GE19466,4.27,4.77,30.25,1.82,1.2,81.08,2,2.73,2,465,0.5,8.32,0.7,-0.99,False,0.34,59.23
alcoholic beverages,MSME_AL19467,0.31,0.44,127.17,37.73,12.32,156.5,17,4.34,2,131,0.66,5.06,0.4,8.43,False,0.34,48.38
gems and jewelry,MSME_GE19468,16.78,23.26,16.43,0.0,3.18,58.11,13,3.44,3,77,0.58,8.73,0.69,-4.8,False,0.32,81.41
footwear,MSME_FO19469,7.25,10.18,19.05,1.45,3.3,190.14,4,4.25,1,390,0.54,0.99,0.57,-8.71,False,0.47,21.62
electronics,MSME_EL19470,1.59,2.33,4.23,4.18,11.1,161.45,4,0.82,3,308,0.28,5.4,0.72,-2.62,True,0.34,8.19
pharmaceuticals,MSME_PH19471,4.869999999999999,5.71,25.39,2.07,4.63,70.39,7,3.74,4,339,0.57,3.48,0.82,-7.37,False,0.58,69.51
alcoholic beverages,MSME_AL19472,2.22,2.58,133.0,34.11,6.76,139.05,8,0.58,2,371,0.54,6.09,0.5,3.15,False,0.44,86.74
alcoholic beverages,MSME_AL19473,0.71,0.84,104.97,39.69,0.96,30.41,1,3.07,3,374,0.33,4.2,0.42,-4.11,False,0.37,54.8
textiles,MSME_TE19474,7.72,11.4,16.09,1.58,2.23,46.98,17,4.98,1,168,0.51,2.69,0.74,-8.82,False,0.37,64.2
alcoholic beverages,MSME_AL19475,3.2,4.54,146.16,32.04,3.27,72.0,19,1.88,2,484,0.47,2.35,0.52,0.48,False,0.49,89.41
chemicals,MSME_CH19476,1.9400000000000002,2.53,6.05,3.44,0.51,144.19,2,4.22,0,307,0.23,5.61,0.73,-1.36,True,0.31,14.76
pharmaceuticals,MSME_PH19477,5.9399999999999995,8.38,35.59,4.73,0.3,135.1,8,2.66,2,74,0.44,5.85,0.84,3.55,False,0.33,92.14
marine products,MSME_MA19478,1.29,1.66,37.78,3.99,12.03,169.15,11,3.21,1,200,0.75,6.68,0.59,-3.59,False,0.5,64.29
electronics,MSME_EL19479,0.12000000000000001,0.16,24.17,4.01,10.3,124.87,5,0.87,0,368,0.67,5.48,0.71,-6.85,True,0.76,42.57
leather,MSME_LE19480,19.150000000000002,21.16,38.23,2.03,0.55,92.83,16,2.64,3,140,0.49,6.07,0.56,4.12,False,0.41,69.14
footwear,MSME_FO19481,8.4,12.02,37.04,0.82,3.04,81.46,18,1.16,0,78,0.56,7.45,0.59,3.92,False,0.47,45.61
pharmaceuticals,MSME_PH19482,31.57,43.3,18.66,2.63,13.26,173.3,10,3.51,5,326,0.76,5.26,0.82,7.54,False,0.79,80.08
marine products,MSME_MA19483,12.07,13.67,28.15,0.72,8.13,137.6,12,3.85,3,12,0.69,3.51,0.58,-9.73,False,0.31,42.04
footwear,MSME_FO19484,1.2100000000000002,1.51,31.43,4.99,7.92,4.08,15,1.28,1,8,0.62,9.79,0.58,0.96,False,0.5,64.25
leather,MSME_LE19485,1.3900000000000001,1.63,30.82,1.95,2.47,84.72,15,1.82,0,325,0.53,5.59,0.55,-6.84,False,0.47,19.32
leather,MSME_LE19486,0.98,1.2,4.89,3.54,4.74,9.46,7,2.99,3,459,0.26,6.38,0.45,6.26,False,0.43,23.32
alcoholic beverages,MSME_AL19487,4.33,5.73,147.02,31.64,8.63,96.79,11,4.08,1,174,0.61,3.34,0.48,-2.33,False,0.45,24.62
gems and jewelry,MSME_GE19488,9.469999999999999,13.57,36.03,1.33,2.12,112.28,13,2.59,2,73,0.53,1.52,0.64,-8.22,False,0.37,35.83
leather,MSME_LE19489,1.25,1.5,2.4,2.68,2.54,172.83,0,2.52,3,450,0.01,2.49,0.49,-7.04,False,0.48,85.13
electronics,MSME_EL19490,4.569999999999999,6.48,27.06,2.46,15.85,3.17,6,4.78,2,147,0.85,9.4,0.69,-8.06,True,0.62,90.7
footwear,MSME_FO19491,2.09,2.52,24.46,3.07,0.89,129.06,15,1.52,0,235,0.46,8.17,0.55,-3.98,False,0.34,89.71
chemicals,MSME_CH19492,6.159999999999999,8.63,34.13,4.98,2.62,31.97,2,2.1,2,123,0.49,3.56,0.7,1.95,True,0.31,84.43
electronics,MSME_EL19493,1.0,1.39,38.86,2.09,19.62,194.07,1,2.15,1,17,0.96,1.29,0.69,0.2,True,0.87,13.72
gems and jewelry,MSME_GE19494,15.87,19.78,31.9,1.25,11.47,87.3,18,3.29,2,282,0.77,9.09,0.7,7.44,False,0.3,60.98
textiles,MSME_TE19495,0.69,0.84,14.29,1.76,13.11,23.54,6,2.27,0,240,0.77,8.68,0.84,-2.46,False,0.36,38.67
gems and jewelry,MSME_GE19496,3.89,5.73,6.48,4.55,6.21,49.0,5,0.21,0,490,0.3,4.81,0.65,-4.62,False,0.43,46.91
alcoholic beverages,MSME_AL19497,10.86,13.04,133.73,36.02,13.16,117.97,7,2.9,2,321,0.69,8.67,0.47,-4.84,False,0.34,40.28
leather,MSME_LE19498,4.6899999999999995,5.66,35.0,0.61,-4.85,153.72,4,3.46,3,278,0.37,7.3,0.51,5.76,False,0.48,82.52
leather,MSME_LE19499,5.1899999999999995,7.15,35.97,0.92,-2.72,125.94,5,3.49,1,398,0.42,0.53,0.45,-3.95,False,0.31,47.98
leather,MSME_LE19500,14.98,19.77,5.07,3.79,-1.19,76.02,20,4.48,3,410,0.1,2.1,0.53,-2.28,False,0.35,88.74
footwear,MSME_FO19501,3.92,5.64,34.97,1.49,2.17,157.19,0,2.07,1,326,0.53,0.35,0.53,0.96,False,0.36,13.58
leather,MSME_LE19502,4.52,6.43,30.55,1.7,-4.66,167.75,14,4.03,1,113,0.36,9.23,0.48,4.77,False,0.43,97.62
textiles,MSME_TE19503,1.07,1.24,19.76,2.46,8.84,199.03,14,4.76,0,124,0.66,9.89,0.74,-9.4,False,0.41,29.12
leather,MSME_LE19504,5.779999999999999,7.22,22.24,1.68,0.83,61.17,0,1.92,0,376,0.48,6.96,0.48,-8.03,False,0.37,61.72
pharmaceuticals,MSME_PH19505,15.69,20.34,24.72,0.59,13.42,91.11,11,0.73,2,176,0.82,0.78,0.76,-5.54,False,0.37,54.03
pharmaceuticals,MSME_PH19506,5.3999999999999995,6.33,10.29,2.57,12.84,163.1,7,0.42,4,248,0.7,1.43,0.79,-3.29,False,0.35,34.67
gems and jewelry,MSME_GE19507,1.06,1.27,2.39,0.26,1.13,173.87,17,0.72,3,241,0.47,5.35,0.68,-8.52,False,0.38,90.96
alcoholic beverages,MSME_AL19508,1.78,2.38,139.91,35.08,4.96,84.97,1,2.59,2,397,0.5,5.91,0.49,2.88,False,0.35,72.33
chemicals,MSME_CH19509,2.68,3.42,39.75,1.16,8.59,6.58,1,3.02,2,69,0.7,4.07,0.6,-4.49,True,0.44,93.54
marine products,MSME_MA19510,1.6,2.39,4.39,1.96,4.28,72.26,1,1.71,1,169,0.38,0.55,0.63,-7.15,False,0.48,55.56
textiles,MSME_TE19511,11.16,14.19,14.25,0.59,11.02,107.11,10,0.85,2,61,0.75,2.27,0.74,-2.06,False,0.48,17.19
gems and jewelry,MSME_GE19512,3.45,4.3,32.93,0.96,9.99,178.9,18,3.09,1,408,0.74,1.68,0.58,-3.04,False,0.46,61.73
footwear,MSME_FO19513,7.279999999999999,8.74,21.73,4.23,14.75,17.53,20,0.99,3,281,0.77,3.15,0.61,-8.24,False,0.45,27.63
gems and jewelry,MSME_GE19514,4.659999999999999,5.5,32.54,2.12,9.73,125.2,18,4.31,1,14,0.71,4.24,0.61,-3.51,False,0.3,93.93
chemicals,MSME_CH19515,1.5,2.2,7.57,2.29,10.22,30.82,15,2.16,0,442,0.6,2.24,0.74,-2.73,True,0.32,93.93
marine products,MSME_MA19516,6.55,9.01,38.34,2.57,5.53,104.95,20,3.48,0,166,0.6,5.5,0.57,-9.71,False,0.33,12.99
footwear,MSME_FO19517,1.7000000000000002,1.88,19.81,2.35,12.93,20.23,20,4.07,2,58,0.76,1.97,0.53,9.17,False,0.34,13.17
chemicals,MSME_CH19518,3.22,3.88,5.32,1.03,14.56,75.48,9,4.13,3,363,0.77,6.68,0.74,8.09,True,0.41,91.92
gems and jewelry,MSME_GE19519,5.26,6.08,17.17,2.38,5.81,119.56,7,4.93,1,453,0.58,6.52,0.65,3.6,False,0.4,61.11
chemicals,MSME_CH19520,8.57,10.22,15.04,4.07,8.02,55.34,13,4.69,2,439,0.57,3.6,0.65,5.65,True,0.37,77.59
marine products,MSME_MA19521,0.17,0.23,7.58,2.5,10.05,25.11,16,1.82,0,481,0.59,0.96,0.53,-7.97,False,0.4,57.37
footwear,MSME_FO19522,6.46,8.64,9.6,3.69,5.39,85.27,12,2.63,3,174,0.44,5.58,0.53,9.05,False,0.48,19.75
gems and jewelry,MSME_GE19523,2.95,4.33,2.93,3.94,13.29,196.79,20,0.15,3,75,0.16,3.0,0.68,8.41,False,0.42,10.17
leather,MSME_LE19524,18.03,23.59,15.44,2.84,0.07,154.74,12,2.69,1,338,0.41,3.35,0.59,1.68,False,0.32,25.54
gems and jewelry,MSME_GE19525,9.889999999999999,12.77,37.98,0.57,1.24,134.12,15,0.44,3,212,0.52,5.01,0.65,4.07,False,0.48,69.7
leather,MSME_LE19526,3.08,4.47,24.16,2.77,3.19,34.43,13,0.28,1,209,0.52,7.35,0.5,2.13,False,0.3,26.75
marine products,MSME_MA19527,2.19,2.42,31.81,1.25,12.53,32.51,19,2.4,1,400,0.79,6.95,0.54,-2.06,False,0.44,41.85
gems and jewelry,MSME_GE19528,1.1700000000000002,1.31,12.52,2.59,9.54,30.45,9,4.48,3,168,0.64,3.79,0.61,-2.26,False,0.49,39.9
chemicals,MSME_CH19529,14.52,17.69,2.69,0.69,5.59,130.04,12,4.44,2,293,0.51,3.04,0.64,-9.55,True,0.41,98.38
footwear,MSME_FO19530,5.569999999999999,7.28,20.29,4.7,8.43,57.62,20,4.67,1,17,0.59,0.28,0.48,-0.26,False,0.34,21.98
marine products,MSME_MA19531,4.1,4.8,33.82,1.51,7.03,142.19,0,4.86,1,41,0.65,7.23,0.61,9.69,False,0.3,98.8
marine products,MSME_MA19532,13.1,18.79,16.28,4.71,8.25,33.2,12,3.11,1,151,0.56,6.13,0.58,1.3,False,0.34,97.28
alcoholic beverages,MSME_AL19533,0.88,0.99,148.0,39.27,9.92,56.64,15,1.56,0,60,0.62,7.61,0.37,-6.22,False,0.42,66.8
marine products,MSME_MA19534,0.44000000000000006,0.61,26.71,0.44,2.79,31.18,0,1.37,1,469,0.56,9.19,0.62,6.63,False,0.3,12.52
pharmaceuticals,MSME_PH19535,0.30000000000000004,0.37,7.47,3.96,10.63,70.4,15,2.47,3,257,0.5,0.54,0.8,7.42,False,0.77,58.2
marine products,MSME_MA19536,1.24,1.66,35.35,3.86,14.21,138.91,9,3.19,2,454,0.8,0.45,0.67,-9.92,False,0.35,69.5
leather,MSME_LE19537,9.61,12.89,12.87,1.35,3.82,23.04,20,1.28,1,125,0.54,5.55,0.42,-9.13,False,0.48,39.4
footwear,MSME_FO19538,11.6,14.61,6.1,3.45,0.84,97.84,19,0.65,2,62,0.24,7.97,0.59,-1.34,False,0.45,68.46
electronics,MSME_EL19539,4.43,5.94,37.18,4.53,10.3,36.63,18,0.85,1,77,0.7,2.43,0.75,-7.89,True,0.45,10.91
pharmaceuticals,MSME_PH19540,2.35,3.4,35.32,1.66,6.26,37.9,8,2.61,2,250,0.63,5.52,0.74,5.62,False,0.83,22.78
electronics,MSME_EL19541,1.34,1.97,17.31,0.86,11.26,181.72,17,4.07,3,19,0.76,4.17,0.69,-4.73,True,0.52,85.59
gems and jewelry,MSME_GE19542,1.33,1.56,21.91,0.9,10.63,159.97,13,1.08,1,123,0.75,8.16,0.7,-5.33,False,0.31,80.35
footwear,MSME_FO19543,4.27,5.89,17.36,4.79,12.18,191.34,3,3.55,1,167,0.67,8.98,0.64,7.41,False,0.49,84.63
gems and jewelry,MSME_GE19544,7.31,9.9,17.3,1.94,12.15,70.34,20,4.97,1,483,0.75,2.75,0.64,7.73,False,0.44,65.28
textiles,MSME_TE19545,13.31,18.75,12.4,2.67,0.5,16.93,0,0.94,0,322,0.4,5.65,0.72,1.91,False,0.31,88.58
alcoholic beverages,MSME_AL19546,6.3999999999999995,8.4,112.25,36.76,14.46,117.76,4,1.61,3,105,0.7,3.63,0.46,0.18,False,0.49,30.96
textiles,MSME_TE19547,7.25,10.52,18.88,4.8,5.7,83.17,13,3.26,2,200,0.52,9.2,0.68,-4.9,False,0.4,10.94
gems and jewelry,MSME_GE19548,2.85,3.61,24.71,0.29,0.69,137.27,16,4.63,0,382,0.51,6.42,0.61,7.29,False,0.37,29.89
footwear,MSME_FO19549,18.740000000000002,23.39,31.96,2.59,1.16,55.96,8,3.94,0,455,0.49,0.39,0.53,4.28,False,0.35,91.41
alcoholic beverages,MSME_AL19550,4.05,5.96,113.94,31.3,2.66,27.63,2,4.01,3,490,0.43,0.25,0.45,9.29,False,0.31,60.7
pharmaceuticals,MSME_PH19551,1.1700000000000002,1.42,5.36,0.66,7.21,27.08,4,4.24,3,171,0.62,6.31,0.86,3.33,False,0.8,29.17
gems and jewelry,MSME_GE19552,7.43,10.24,17.47,4.05,6.69,38.74,13,0.84,0,475,0.55,0.85,0.67,5.5,False,0.41,85.88
electronics,MSME_EL19553,1.1,1.64,29.67,4.92,15.32,146.34,2,2.75,1,7,0.8,5.17,0.63,-2.05,True,0.85,69.85
marine products,MSME_MA19554,0.6,0.88,27.25,3.57,8.34,147.11,10,0.47,0,139,0.64,3.76,0.63,-7.76,False,0.41,99.21
electronics,MSME_EL19555,16.400000000000002,18.08,13.86,3.97,18.03,160.06,19,4.46,1,405,0.81,7.14,0.65,8.13,True,0.84,37.86
gems and jewelry,MSME_GE19556,0.23,0.33,7.84,2.04,8.63,130.16,12,2.06,2,273,0.59,8.32,0.68,-6.26,False,0.49,15.47
gems and jewelry,MSME_GE19557,12.76,18.88,4.86,2.45,5.51,48.28,8,1.28,3,313,0.39,7.11,0.71,2.02,False,0.49,73.72
marine products,MSME_MA19558,4.359999999999999,6.2,29.15,1.72,4.38,116.08,18,1.09,1,410,0.58,1.78,0.55,7.56,False,0.34,70.75
marine products,MSME_MA19559,5.34,7.3,3.66,1.97,9.37,41.08,19,1.47,0,279,0.47,4.36,0.58,-1.3,False,0.42,35.67
footwear,MSME_FO19560,3.74,5.24,10.69,1.58,3.86,139.3,9,1.46,2,136,0.52,7.82,0.49,9.82,False,0.35,59.04
chemicals,MSME_CH19561,0.69,0.95,11.76,2.71,10.77,73.67,6,1.79,2,476,0.65,9.28,0.7,5.05,True,0.42,81.25
electronics,MSME_EL19562,3.21,4.44,4.64,3.83,15.55,103.73,20,2.96,0,336,0.48,8.47,0.63,-7.36,True,0.45,48.9
pharmaceuticals,MSME_PH19563,3.46,4.97,23.65,4.29,11.4,10.13,19,4.0,5,288,0.69,3.04,0.79,0.5,False,0.38,62.74
